City_ID,city,lat,lng,max_Temp,humidity,cloudiness,wind_Speed,country,date
150,la ronge,55.1001,-105.2842,37.65,65,20,8.05,CA,2023-04-17 03:57:56
151,beira,-19.8436,34.8389,75.29,78,20,5.01,MZ,2023-04-17 03:57:56
152,kilindoni,-7.9139,39.6668,78.46,85,100,11.63,TZ,2023-04-17 03:57:56
153,cap malheureux,-19.9842,57.6142,80.47,78,35,10.54,MU,2023-04-17 03:57:57
154,maniitsoq,65.4167,-52.9,26.78,63,42,11.14,GL,2023-04-17 03:57:57
155,lorengau,-2.0226,147.2712,82.83,74,97,8.1,PG,2023-04-17 03:57:57
156,lanzhou,36.0564,103.7922,72.28,20,2,13.11,CN,2023-04-17 03:57:57
157,ust-nera,64.5667,143.2,26.46,83,100,0.51,RU,2023-04-17 03:57:58
158,torbay,47.6666,-52.7314,31.26,89,75,4.61,CA,2023-04-17 03:57:58
159,ribeira grande,38.5167,-28.7,56.77,83,86,4.0,PT,2023-04-17 03:57:58
160,honiara,-9.4333,159.95,83.52,68,42,3.02,SB,2023-04-17 03:55:47
161,tenenkou,14.4572,-4.9169,80.83,8,1,8.97,ML,2023-04-17 03:57:59
162,uige,-7.6087,15.0613,68.31,94,100,2.39,AO,2023-04-17 03:57:59
163,traian,46.6333,27.0333,47.91,87,75,3.44,RO,2023-04-17 03:58:00
164,kamarion,36.8,25.8167,58.75,89,100,10.04,GR,2023-04-17 03:58:00
165,sarab,38.6066,44.9883,51.64,66,74,1.14,IR,2023-04-17 03:58:00
166,mount gambier,-37.8333,140.7667,65.55,72,68,10.07,AU,2023-04-17 03:58:01
167,moanda,-1.5575,13.2178,69.82,98,100,1.39,GA,2023-04-17 03:58:01
168,mayenne,48.3333,-0.6667,42.24,93,24,5.35,FR,2023-04-17 03:58:01
169,moyale,3.5167,39.0584,67.26,85,73,2.33,KE,2023-04-17 03:58:01
170,rocha,-34.4833,-54.3333,55.13,94,100,3.31,UY,2023-04-17 03:55:26
171,clyde river,70.4692,-68.5914,-1.97,78,0,19.57,CA,2023-04-17 03:58:01
172,lompoc,34.6391,-120.4579,51.94,86,0,11.5,US,2023-04-17 03:56:27
173,humenne,48.9371,21.9163,50.05,90,99,4.12,SK,2023-04-17 03:58:02
174,suruc,36.9761,38.425,61.16,57,20,0.6,TR,2023-04-17 03:58:03
175,zalantun,48.0,122.7167,51.31,34,100,10.27,CN,2023-04-17 03:58:03
176,sabha,27.0377,14.4283,64.9,32,91,14.32,LY,2023-04-17 03:58:03
177,arraial do cabo,-22.9661,-42.0278,74.86,82,14,10.02,BR,2023-04-17 03:58:04
178,cayenne,4.9333,-52.3333,77.04,100,100,2.3,GF,2023-04-17 03:58:04
179,broken hill,-31.95,141.4333,64.69,37,0,7.7,AU,2023-04-17 03:55:09
180,noceto,44.8114,10.1713,47.44,75,12,2.51,IT,2023-04-17 03:58:05
181,cidreira,-30.1811,-50.2056,67.78,95,66,10.47,BR,2023-04-17 03:58:05
182,puerto escondido,15.85,-97.0667,80.51,75,3,4.38,MX,2023-04-17 03:58:05
183,atambua,-9.1061,124.8925,80.17,78,100,3.51,ID,2023-04-17 03:58:05
184,narsaq,60.9167,-46.05,30.96,58,81,7.45,GL,2023-04-17 03:58:06
185,karakulino,56.012,53.7067,36.7,65,35,6.82,RU,2023-04-17 03:58:06
186,voi,-3.3945,38.563,70.72,90,58,6.31,KE,2023-04-17 03:58:06
187,san cristobal,7.7669,-72.225,71.78,89,99,1.07,VE,2023-04-17 03:58:06
188,baykit,61.67,96.37,20.75,76,100,5.57,RU,2023-04-17 03:58:07
189,bengkulu,-3.8004,102.2655,84.07,67,83,4.47,ID,2023-04-17 03:58:07
190,gympie,-26.1898,152.665,81.43,55,46,12.03,AU,2023-04-17 03:58:07
191,khandela,27.6,75.5,89.8,24,1,11.36,IN,2023-04-17 03:58:07
192,abnub,27.2696,31.1511,62.82,24,0,2.48,EG,2023-04-17 03:58:07
193,tuktoyaktuk,69.4541,-133.0374,8.6,85,100,10.36,CA,2023-04-17 03:58:08
194,bettiah,26.8,84.5,100.15,8,0,7.92,IN,2023-04-17 03:58:08
195,hatillo,18.4863,-66.8254,76.08,91,4,1.99,PR,2023-04-17 03:58:08
196,bay roberts,47.5999,-53.2648,31.33,91,95,5.14,CA,2023-04-17 03:58:09
197,zhezkazgan,47.8043,67.7144,28.38,80,75,20.13,KZ,2023-04-17 03:58:09
198,amalapuram,16.5833,82.0167,94.64,40,98,5.88,IN,2023-04-17 03:58:10
199,esperance,-33.8667,121.9,71.73,54,0,14.81,AU,2023-04-17 03:58:10
200,ust-ordynskiy,52.805,104.7508,35.17,31,97,6.64,RU,2023-04-17 03:58:10
201,faanui,-16.4833,-151.75,81.79,73,26,8.46,PF,2023-04-17 03:58:10
